epoch,train_loss,val_loss,train_f1_macro,val_f1_macro,lr,batch_size,arch,weight_decay,dropout,seed,batch_size_from_dir,lr_from_dir,run_name,run_dir
5,0.9691728390799628,0.9768932232962716,0.6804325881081039,0.6500387511942408,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
6,0.9181199314541288,0.9765712025854324,0.6898775733316069,0.6551893995681624,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
7,0.8690929751502143,0.9470514536645678,0.699259979321827,0.6649645879775412,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
8,0.83049769337972,0.9529664518064924,0.7088828449547073,0.6655344015973259,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
9,0.7905249189588759,0.8982385368876987,0.7320943420235445,0.6847869717072778,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
10,0.7589606422000461,0.8763141596370273,0.7367546122161237,0.6829463859423536,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
11,0.7329711277008056,0.8588292113833957,0.7478864503213672,0.69577034291517,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
12,0.699258143848843,0.8482787041664124,0.7594178084688643,0.7013419775167281,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
13,0.6758695400661893,0.8484766279856364,0.759321078362737,0.6927478226499597,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
14,0.6478328472985162,0.8339861865467495,0.7829846311938116,0.7047866161736573,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
15,0.6270279630555047,0.8023302415106032,0.8040256289545455,0.7191498643118199,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
16,0.6028939088609484,0.7969461102167765,0.8165037248983424,0.7234527249785574,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
17,0.5818744901021322,0.7961435364193387,0.8259639726734129,0.726038034325126,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
18,0.5561019688182407,0.7961539928012424,0.8352221519293538,0.7274089624269128,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
19,0.5386878108978271,0.818215436829461,0.8351775108131758,0.7241036429622969,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
20,0.515510858768887,0.8214644168429904,0.8395851313205991,0.7218304213438226,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
21,0.5019243603282505,0.8270418795373705,0.8462706385729678,0.7235161911789729,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
