epoch,train_loss,val_loss,train_f1_macro,val_f1_macro,lr,batch_size,arch,seed,run_name,run_dir,aug
5,0.8276476374944051,0.8686000850041707,0.724380292244883,0.6861846626984813,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
6,0.7749805223570929,0.8534887443012661,0.7381822346563014,0.693502470947807,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
7,0.7285095398796929,0.8443627052307129,0.7436440677243064,0.6962345607001419,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
8,0.6878369455814362,0.8331580781830682,0.7723083059649474,0.70752407438453,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
9,0.6515336606555515,0.8035856079631382,0.7874237082113964,0.7149293652606927,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
10,0.6153767482121786,0.8189841483010186,0.8012187011473519,0.7166654177734699,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
11,0.5849355799357097,0.8192113260004256,0.8150466019187789,0.7205004807307132,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
12,0.5549543010181851,0.8373256376266479,0.822979836612635,0.7192652345371306,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
13,0.5272083066092597,0.8322201275878482,0.839712659542483,0.7270432921366548,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
14,0.4986806243048773,0.8798126422776116,0.8382394731404126,0.7167270287194696,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
15,0.4728602532810635,0.8590402097278171,0.8523406368814566,0.7214451819592956,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
16,0.4502547055880229,0.8944372151162889,0.8616605406949567,0.717136981167073,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
17,0.4280352356698778,0.8866526382128398,0.8744527889572478,0.722486173995104,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
18,0.4066655595143636,0.9163332404984368,0.8817788338628706,0.7205825473718875,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
19,0.3881167152616713,0.9249267699453566,0.8858823471215184,0.7217090407419052,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
